Country,TotMedals,GoldCount,SilverCount,BronzeCount,GDP,Population,Athletes,GoldPrice,SilverPrice,BronzePrice,Reward
Norway,26,11,5,10,4858,5005700,134,0,0,0,0
Slovenia,8,2,2,4,4954,2057540,66,27000,23700,20300,182600
Austria,17,4,8,5,41848,8452835,130,21908,16736,12877,285905
Latvia,4,0,2,2,2825,2070371,58,192800,96400,67500,327800
Sweden,15,2,7,6,53813,9490683,106,0,0,0,0
Netherlands,24,8,7,9,83626,16731770,41,40600,30500,20300,721000
Switzerland,11,6,3,2,63565,7870100,168,88600,77500,66500,897100
Finland,5,1,3,1,26607,5407040,103,40600,20300,13500,115000
CzechRep,8,2,4,2,21522,10504203,85,73900,37000,22200,340200
Canada,25,10,10,5,173605,34771400,221,9000,6800,4500,180500
Belarus,6,5,0,1,5514,9461400,24,150000,75000,50000,800000
Croatia,1,0,1,0,6385,4290612,11,0,0,0,0
Germany,19,8,6,5,357056,81831000,153,21000,15000,10000,308000
Russia,33,13,11,9,185777,143500000,232,114000,71000,42000,2641000
France,15,4,4,7,277303,65350000,105,67800,27100,17600,502800
Slovakia,1,1,0,0,9599,5445324,62,60800,47300,27000,60800
Korea,8,3,3,2,111625,48580000,71,62000,51700,36200,413500
Poland,6,4,1,1,5145,38501000,59,38330,25560,15980,194860
Italy,8,0,2,6,219475,60776531,113,189800,101700,67800,610200
Australia,3,0,2,1,137176,22880619,61,13000,8700,6500,23900
US,28,9,7,12,15094,313382000,230,25000,15000,10000,450000
GB,4,1,1,2,243159,62262000,56,0,0,0,0
Japan,8,1,4,3,586715,127650000,113,29300,19600,9800,137100
Kazakhstan,1,0,0,1,1862,16718000,52,250000,200000,75000,75000
Ukraine,2,1,0,1,16525,45644419,43,125000,80000,55000,180000
China,9,3,4,2,72981,1347350000,66,51000,0,0,153000
,,,,,,,,,,,
