Country	TotMedals	GoldMedals	GDP	Population	Athletes
Norway	26	11	4858	5005700	134
Slovenia	8	2	4954	2057540	66
Austria	17	4	41848	8452835	130
Latvia	4	0	2825	2070371	58
Sweden	15	2	53813	9490683	106
Netherlands	24	8	83626	16731770	41
Switzerland	11	6	63565	7870100	168
Finland	5	1	26607	5407040	103
CzechRep	8	2	21522	10504203	85
Canada	25	10	173605	34771400	221
Belarus	6	5	5514	9461400	24
Croatia	1	0	6385	4290612	11
Germany	19	8	357056	81831000	153
Russia	33	13	185777	143500000	232
France	15	4	277303	65350000	105
Slovakia	1	1	9599	5445324	62
Korea	8	3	111625	48580000	71
Poland	6	4	5145	38501000	59
Italy	8	0	219475	60776531	113
Australia	3	0	137176	22880619	61
US	28	9	15094	313382000	230
GB	4	1	243159	62262000	56
Japan	8	1	586715	127650000	113
Kazakhstan	1	0	1862	16718000	52
Ukraine	2	1	16525	45644419	43
China	9	3	72981	1347350000	66
