Identity	Male=1	Born_USA?	Born_White?	Name_Change?	Genre=drama	Birth	Final	Alive	?Films	?FourStar_Films	?Wins	?Noms	FirstFilm_Year	FirstWin_Year	FirstNom_Year
1	1	Yes	Yes	No	Yes	1913	1969	0	4	2	0	0	1954	NA	NA
2	1	Yes	Yes	No	No	1921	2001	1	37	4	0	0	1972	NA	NA
3	1	Yes	Yes	No	Yes	1962	2001	1	38	6	0	0	1980	NA	NA
4	1	Yes	Yes	Yes	No	1929	2001	1	45	1	0	0	1959	NA	NA
5	1	Yes	No	No	Yes	1934	1986	0	8	2	0	1	1969	NA	1984
6	1	Yes	Yes	No	Yes	1890	1963	0	139	23	0	1	1916	NA	1931
7	0	Yes	Yes	No	Yes	1909	1978	0	16	1	0	0	1935	NA	NA
8	0	Yes	Yes	No	Yes	1906	1974	0	85	20	0	4	1929	NA	1942
9	1	No	Yes	No	Yes	1899	1972	0	123	20	0	2	1932	NA	1936
10	1	Yes	Yes	No	No	1894	1972	0	29	2	0	0	1933	NA	NA
11	1	Yes	Yes	No	Yes	1927	1975	0	15	3	0	0	1964	NA	NA
12	1	Yes	Yes	No	Yes	1940	2001	1	31	16	1	8	1969	1992	1972
13	1	Yes	Yes	No	No	1934	2001	1	62	12	0	2	1957	NA	1966
14	1	No	Yes	No	Yes	1934	2001	1	58	17	0	1	1960	NA	1968
15	1	No	Yes	No	Yes	1909	1961	0	24	4	0	0	1936	NA	NA
16	1	No	Yes	No	Yes	1867	1952	0	38	7	0	1	1922	NA	1940
17	1	Yes	Yes	Yes	No	1947	2001	1	17	7	0	1	1974	NA	1987
18	1	No	Yes	No	Yes	1936	2001	1	42	15	0	5	1960	NA	1963
19	1	No	Yes	Yes	No	1914	2000	0	61	19	1	4	1934	1957	1952
20	1	Yes	Yes	No	No	1878	1960	0	5	2	0	0	1937	NA	NA
21	1	No	Yes	No	Yes	1907	1995	0	70	11	0	1	1939	NA	1944
22	0	No	Yes	No	Yes	1939	2001	1	64	5	0	0	1960	NA	NA
23	1	No	Yes	No	Yes	1916	1987	0	55	9	0	0	1946	NA	NA
24	1	No	Yes	No	No	1904	1957	0	22	4	0	0	1943	NA	NA
25	0	Yes	No	No	Yes	1953	2001	1	41	5	0	1	1978	NA	1983
26	1	Yes	Yes	No	No	1892	1977	0	7	0	0	1	1923	NA	1932
27	0	Yes	Yes	Yes	Yes	1938	2001	1	20	1	0	1	1968	NA	1970
28	0	Yes	Yes	No	Yes	1892	1939	0	74	8	1	2	1914	1937	1936
29	0	Yes	Yes	No	No	1926	2001	1	22	2	0	0	1954	NA	NA
30	0	Yes	Yes	No	Yes	1899	1991	0	44	13	0	1	1931	NA	1944
31	0	No	Yes	No	No	1946	2001	1	19	2	0	0	1976	NA	NA
32	0	Yes	Yes	No	No	1888	1974	0	86	15	0	0	1940	NA	NA
33	0	Yes	Yes	Yes	Yes	1931	1989	0	21	7	0	0	1950	NA	NA
34	0	No	Yes	No	Yes	1962	2001	1	19	3	0	0	1985	NA	NA
35	0	Yes	Yes	No	Yes	1957	2001	1	41	7	0	0	1981	NA	NA
36	0	Yes	Yes	No	Yes	1953	2001	1	27	5	0	1	1975	NA	1983
37	0	Yes	Yes	No	Yes	1951	2001	1	33	6	0	1	1981	NA	1985
38	0	Yes	Yes	No	Yes	1950	2001	1	30	6	0	0	1976	NA	NA
39	1	No	Yes	Yes	Yes	1909	1978	0	52	8	0	0	1938	NA	NA
40	1	Yes	No	No	No	1962	2001	1	14	3	0	0	1989	NA	NA
41	0	Yes	Yes	No	Yes	1916	1974	0	35	3	0	0	1940	NA	NA
42	0	Yes	Yes	Yes	Yes	1914	1974	0	14	1	0	1	1935	NA	1937
43	1	No	Yes	No	Yes	1907	1988	0	31	5	0	0	1937	NA	NA
44	1	No	No	Yes	Yes	1956	2001	1	27	3	0	1	1968	NA	1988
45	0	Yes	No	No	Yes	1958	2001	1	28	9	0	1	1985	NA	1993
46	0	Yes	Yes	No	No	1923	1978	0	23	1	0	0	1944	NA	NA
47	0	No	Yes	No	Yes	1925	2001	1	66	18	0	3	1944	NA	1944
48	0	Yes	Yes	No	Yes	1951	2001	1	41	13	1	3	1969	1985	1982
49	0	Yes	Yes	No	Yes	1928	2001	1	33	3	0	1	1944	NA	1945
50	0	No	Yes	No	Yes	1890	1961	0	14	3	0	0	1951	NA	NA
51	0	Yes	Yes	No	Yes	1914	2000	0	173	24	0	0	1970	NA	NA
52	0	Yes	Yes	Yes	Yes	1901	1981	0	41	4	0	1	1929	NA	1931
53	0	No	Yes	No	No	1941	2001	1	48	7	0	2	1961	NA	1971
54	0	No	Yes	No	Yes	1918	2001	1	18	4	0	0	1937	NA	NA
55	0	Yes	Yes	No	Yes	1891	1978	0	44	9	0	0	1933	NA	NA
56	0	Yes	Yes	Yes	No	1912	2001	0	79	6	0	1	1927	NA	1987
57	0	No	Yes	No	Yes	1909	1993	0	69	12	0	0	1931	NA	NA
58	0	Yes	Yes	No	Yes	1899	1959	0	28	1	0	0	1933	NA	NA
59	0	No	Yes	No	Yes	1907	1973	0	33	7	1	2	1941	1955	1955
60	0	No	Yes	No	Yes	1982	2001	1	5	2	1	1	1993	1993	1993
61	0	Yes	Yes	No	Yes	1947	2001	1	39	1	0	1	1972	NA	1987
62	0	Yes	Yes	Yes	Yes	1931	2001	1	59	8	1	5	1952	1962	1962
63	0	Yes	Yes	No	Yes	1923	1985	0	71	12	1	2	1940	1946	1946
64	0	Yes	Yes	No	Yes	1930	2001	1	78	14	0	0	1947	NA	NA
65	0	Yes	Yes	Yes	No	1893	1971	0	54	8	0	0	1935	NA	NA
66	0	Yes	Yes	No	Yes	1928	1988	0	36	3	0	1	1972	NA	1987
67	0	Yes	Yes	No	Yes	1903	1990	0	42	8	1	3	1934	1945	1943
68	0	Yes	Yes	Yes	Yes	1918	1993	0	53	7	0	1	1925	NA	1937
69	0	Yes	Yes	No	Yes	1958	2001	1	19	3	0	2	1986	NA	1990
70	0	No	Yes	Yes	Yes	1932	2001	1	55	5	0	1	1948	NA	1966
71	1	Yes	Yes	Yes	Yes	1928	2001	1	67	5	0	1	1957	NA	1957
72	1	Yes	Yes	No	No	1927	1988	0	52	13	0	0	1955	NA	NA
73	1	No	Yes	No	Yes	1937	2001	1	70	14	1	4	1960	1991	1968
74	1	No	Yes	No	Yes	1902	1977	0	38	10	0	0	1946	NA	NA
75	1	Yes	Yes	No	Yes	1932	1992	0	59	7	0	1	1953	NA	1956
76	1	No	Yes	No	Yes	1913	1989	0	68	13	0	1	1936	NA	1969
77	1	No	Yes	No	Yes	1916	2001	1	156	14	2	4	1936	1952	1952
78	1	Yes	Yes	No	Yes	1909	1975	0	96	3	0	0	1937	NA	NA
79	1	Yes	Yes	No	Yes	1889	1964	0	32	5	0	0	1935	NA	NA
